artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,is_local,track_name,track_preview_url,track_number,type,track_uri,external_urls.spotify,album_name,key_name,mode_name,key_mode
Beyoncé,6vWDO969PvNqNYHIOW5v0m,6FJxoadUE4JNVwWHghBwnb,album,,2022-07-29,2022,day,0.785,0.732,1,-5.724,1,0.164,0.0636,8.07e-4,0.265,0.496,110.952,1w7cgGZR86yWz1pA2puVJD,https://api.spotify.com/v1/audio-analysis/1w7cgGZR86yWz1pA2puVJD,4,,,1,260769,TRUE,https://api.spotify.com/v1/tracks/1w7cgGZR86yWz1pA2puVJD,FALSE,HEATED,https://p.scdn.co/mp3-preview/98514f25132bcc5c9bcd7bd0d140f6258bd24138?cid=a35f79c14d594b1abc3e242bfdcbde63,11,track,spotify:track:1w7cgGZR86yWz1pA2puVJD,https://open.spotify.com/track/1w7cgGZR86yWz1pA2puVJD,RENAISSANCE,C#,major,C# major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,6FJxoadUE4JNVwWHghBwnb,album,,2022-07-29,2022,day,0.823,0.536,5,-10.123,0,0.319,0.0616,0.0143,0.326,0.537,128.955,1LCm0lFnEsxR2oPqyHLGX9,https://api.spotify.com/v1/audio-analysis/1LCm0lFnEsxR2oPqyHLGX9,4,,,1,244792,TRUE,https://api.spotify.com/v1/tracks/1LCm0lFnEsxR2oPqyHLGX9,FALSE,THIQUE,https://p.scdn.co/mp3-preview/6354b49c7a0d9278a17b02e5fbff1ae21f2438bb?cid=a35f79c14d594b1abc3e242bfdcbde63,12,track,spotify:track:1LCm0lFnEsxR2oPqyHLGX9,https://open.spotify.com/track/1LCm0lFnEsxR2oPqyHLGX9,RENAISSANCE,F,minor,F minor
Beyoncé,6vWDO969PvNqNYHIOW5v0m,6FJxoadUE4JNVwWHghBwnb,album,,2022-07-29,2022,day,0.744,0.577,9,-7.228,1,0.0631,0.0672,3.06e-6,0.178,0.0805,135.869,3k4CoiIQXiNBrwrmbBMDxj,https://api.spotify.com/v1/audio-analysis/3k4CoiIQXiNBrwrmbBMDxj,4,,,1,169819,TRUE,https://api.spotify.com/v1/tracks/3k4CoiIQXiNBrwrmbBMDxj,FALSE,ALL UP IN YOUR MIND,https://p.scdn.co/mp3-preview/01548e43349e0d6e08423de7eded6c3f86b2b133?cid=a35f79c14d594b1abc3e242bfdcbde63,13,track,spotify:track:3k4CoiIQXiNBrwrmbBMDxj,https://open.spotify.com/track/3k4CoiIQXiNBrwrmbBMDxj,RENAISSANCE,A,major,A major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,6FJxoadUE4JNVwWHghBwnb,album,,2022-07-29,2022,day,0.789,0.614,1,-6.491,1,0.0579,0.00348,0.00152,0.283,0.108,126.035,2XMAWynSTIst5KmLSv0Npf,https://api.spotify.com/v1/audio-analysis/2XMAWynSTIst5KmLSv0Npf,4,,,1,198897,TRUE,https://api.spotify.com/v1/tracks/2XMAWynSTIst5KmLSv0Npf,FALSE,AMERICA HAS A PROBLEM,https://p.scdn.co/mp3-preview/5251e13693f98f53cad47b2ef2a3b9c0b188fb5f?cid=a35f79c14d594b1abc3e242bfdcbde63,14,track,spotify:track:2XMAWynSTIst5KmLSv0Npf,https://open.spotify.com/track/2XMAWynSTIst5KmLSv0Npf,RENAISSANCE,C#,major,C# major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,6FJxoadUE4JNVwWHghBwnb,album,,2022-07-29,2022,day,0.857,0.558,1,-7.888,1,0.134,0.0122,4.8e-5,0.288,0.453,123.973,4DByEumlGTZKSzuVEZ35eo,https://api.spotify.com/v1/audio-analysis/4DByEumlGTZKSzuVEZ35eo,4,,,1,288254,TRUE,https://api.spotify.com/v1/tracks/4DByEumlGTZKSzuVEZ35eo,FALSE,PURE/HONEY,https://p.scdn.co/mp3-preview/a4564eeac7ee46de87873d6e77cff980e8bc4b58?cid=a35f79c14d594b1abc3e242bfdcbde63,15,track,spotify:track:4DByEumlGTZKSzuVEZ35eo,https://open.spotify.com/track/4DByEumlGTZKSzuVEZ35eo,RENAISSANCE,C#,major,C# major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,6FJxoadUE4JNVwWHghBwnb,album,,2022-07-29,2022,day,0.674,0.625,1,-9.593,1,0.0514,0.0843,0.0015,0.11,0.208,120.004,3HyR1j49TY5ACP2lseF1jx,https://api.spotify.com/v1/audio-analysis/3HyR1j49TY5ACP2lseF1jx,4,,,1,273997,TRUE,https://api.spotify.com/v1/tracks/3HyR1j49TY5ACP2lseF1jx,FALSE,SUMMER RENAISSANCE,https://p.scdn.co/mp3-preview/b8ae9f9e20dd574130d6bcedb63c2c60e4c2ae08?cid=a35f79c14d594b1abc3e242bfdcbde63,16,track,spotify:track:3HyR1j49TY5ACP2lseF1jx,https://open.spotify.com/track/3HyR1j49TY5ACP2lseF1jx,RENAISSANCE,C#,major,C# major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.571,0.537,7,-8.93,1,0.246,0.0593,2.06e-5,0.124,0.136,105.994,1kINLseIy6cqaRZQSI7sPH,https://api.spotify.com/v1/audio-analysis/1kINLseIy6cqaRZQSI7sPH,4,,,1,208014,FALSE,https://api.spotify.com/v1/tracks/1kINLseIy6cqaRZQSI7sPH,FALSE,I'M THAT GIRL,https://p.scdn.co/mp3-preview/4b270c4d68dffde12d11f4667e2503e6b59f4e38?cid=a35f79c14d594b1abc3e242bfdcbde63,1,track,spotify:track:1kINLseIy6cqaRZQSI7sPH,https://open.spotify.com/track/1kINLseIy6cqaRZQSI7sPH,RENAISSANCE,G,major,G major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.843,0.639,0,-8.202,1,0.0624,0.00113,0.00334,0.153,0.398,112.058,42vGWSOjLteNhlySwoXrcK,https://api.spotify.com/v1/audio-analysis/42vGWSOjLteNhlySwoXrcK,4,,,1,210372,FALSE,https://api.spotify.com/v1/tracks/42vGWSOjLteNhlySwoXrcK,FALSE,COZY,https://p.scdn.co/mp3-preview/fad8289d0e88193f67d7fd584aed5459ba4a1e60?cid=a35f79c14d594b1abc3e242bfdcbde63,2,track,spotify:track:42vGWSOjLteNhlySwoXrcK,https://open.spotify.com/track/42vGWSOjLteNhlySwoXrcK,RENAISSANCE,C,major,C major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.546,0.633,1,-6.444,1,0.0793,0.00363,6.98e-5,0.149,0.489,119.777,3uyF4RSaQBhOVhLTxfcZCg,https://api.spotify.com/v1/audio-analysis/3uyF4RSaQBhOVhLTxfcZCg,4,,,1,215459,FALSE,https://api.spotify.com/v1/tracks/3uyF4RSaQBhOVhLTxfcZCg,FALSE,ALIEN SUPERSTAR,https://p.scdn.co/mp3-preview/22076e501b2581ac6397b06f9f54323cd27bacbd?cid=a35f79c14d594b1abc3e242bfdcbde63,3,track,spotify:track:3uyF4RSaQBhOVhLTxfcZCg,https://open.spotify.com/track/3uyF4RSaQBhOVhLTxfcZCg,RENAISSANCE,C#,major,C# major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.745,0.729,4,-5.573,0,0.221,0.0558,0,0.0589,0.629,115.028,3IHaiorYWOcr8Kzs85PWF7,https://api.spotify.com/v1/audio-analysis/3IHaiorYWOcr8Kzs85PWF7,4,,,1,225388,FALSE,https://api.spotify.com/v1/tracks/3IHaiorYWOcr8Kzs85PWF7,FALSE,CUFF IT,https://p.scdn.co/mp3-preview/d618ce43ded01104a1765b68cfe9cb8cc57eabda?cid=a35f79c14d594b1abc3e242bfdcbde63,4,track,spotify:track:3IHaiorYWOcr8Kzs85PWF7,https://open.spotify.com/track/3IHaiorYWOcr8Kzs85PWF7,RENAISSANCE,E,minor,E minor
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.903,0.519,1,-9.151,1,0.26,0.281,1.06e-4,0.155,0.587,114.991,2i5vu6GI7mJ2B2pf9gNFhn,https://api.spotify.com/v1/audio-analysis/2i5vu6GI7mJ2B2pf9gNFhn,4,,,1,116727,FALSE,https://api.spotify.com/v1/tracks/2i5vu6GI7mJ2B2pf9gNFhn,FALSE,ENERGY (feat. Beam),https://p.scdn.co/mp3-preview/3b0468d27f6d0c84113fdd973115fdea301109d0?cid=a35f79c14d594b1abc3e242bfdcbde63,5,track,spotify:track:2i5vu6GI7mJ2B2pf9gNFhn,https://open.spotify.com/track/2i5vu6GI7mJ2B2pf9gNFhn,RENAISSANCE,C#,major,C# major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.693,0.887,1,-5.039,0,0.0795,0.0581,2.71e-6,0.27,0.864,114.942,40KCN2nYImUounlfO5Cdzn,https://api.spotify.com/v1/audio-analysis/40KCN2nYImUounlfO5Cdzn,4,,,1,278281,FALSE,https://api.spotify.com/v1/tracks/40KCN2nYImUounlfO5Cdzn,FALSE,BREAK MY SOUL,https://p.scdn.co/mp3-preview/6277963cb556a9d4d90517197112d732a5fc3b05?cid=a35f79c14d594b1abc3e242bfdcbde63,6,track,spotify:track:40KCN2nYImUounlfO5Cdzn,https://open.spotify.com/track/40KCN2nYImUounlfO5Cdzn,RENAISSANCE,C#,minor,C# minor
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.773,0.919,2,-5.698,1,0.271,0.0375,3.59e-6,0.367,0.239,92.068,5de5oSUFB9KxtDOYUfIwig,https://api.spotify.com/v1/audio-analysis/5de5oSUFB9KxtDOYUfIwig,4,,,1,224472,FALSE,https://api.spotify.com/v1/tracks/5de5oSUFB9KxtDOYUfIwig,FALSE,CHURCH GIRL,https://p.scdn.co/mp3-preview/e9f2e27027e14f0490f64279a5d0cf596c045480?cid=a35f79c14d594b1abc3e242bfdcbde63,7,track,spotify:track:5de5oSUFB9KxtDOYUfIwig,https://open.spotify.com/track/5de5oSUFB9KxtDOYUfIwig,RENAISSANCE,D,major,D major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.618,0.712,1,-8.246,1,0.114,0.14,4.53e-6,0.575,0.305,97.057,2VOfPkpiJctQYXVYfnp0X8,https://api.spotify.com/v1/audio-analysis/2VOfPkpiJctQYXVYfnp0X8,4,,,1,254319,FALSE,https://api.spotify.com/v1/tracks/2VOfPkpiJctQYXVYfnp0X8,FALSE,PLASTIC OFF THE SOFA,https://p.scdn.co/mp3-preview/8e2725101e48c5c3c9b9a79280e8cfe337783b99?cid=a35f79c14d594b1abc3e242bfdcbde63,8,track,spotify:track:2VOfPkpiJctQYXVYfnp0X8,https://open.spotify.com/track/2VOfPkpiJctQYXVYfnp0X8,RENAISSANCE,C#,major,C# major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.679,0.85,11,-5.039,0,0.0481,0.0778,1.05e-6,0.741,0.619,107.988,1tN0m05nf7i9LpFnYJ1i6O,https://api.spotify.com/v1/audio-analysis/1tN0m05nf7i9LpFnYJ1i6O,4,,,1,368758,FALSE,https://api.spotify.com/v1/tracks/1tN0m05nf7i9LpFnYJ1i6O,FALSE,VIRGO'S GROOVE,https://p.scdn.co/mp3-preview/fbc4699bf610a824854dbf22ab588159cd4f71bd?cid=a35f79c14d594b1abc3e242bfdcbde63,9,track,spotify:track:1tN0m05nf7i9LpFnYJ1i6O,https://open.spotify.com/track/1tN0m05nf7i9LpFnYJ1i6O,RENAISSANCE,B,minor,B minor
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.876,0.628,1,-6.595,1,0.0935,0.0165,0.0339,0.0938,0.809,118.028,7b1NUJTJq9xgg8JiVe0hd6,https://api.spotify.com/v1/audio-analysis/7b1NUJTJq9xgg8JiVe0hd6,4,,,1,203383,FALSE,https://api.spotify.com/v1/tracks/7b1NUJTJq9xgg8JiVe0hd6,FALSE,MOVE (feat. Grace Jones & Tems),https://p.scdn.co/mp3-preview/883928e4bfbdf64e7ef88497c7381c3d1f54ec58?cid=a35f79c14d594b1abc3e242bfdcbde63,10,track,spotify:track:7b1NUJTJq9xgg8JiVe0hd6,https://open.spotify.com/track/7b1NUJTJq9xgg8JiVe0hd6,RENAISSANCE,C#,major,C# major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.791,0.725,1,-5.733,1,0.161,0.0621,0.00115,0.246,0.484,110.977,5TEoJSRVnoinx0xIPV3CXr,https://api.spotify.com/v1/audio-analysis/5TEoJSRVnoinx0xIPV3CXr,4,,,1,260769,FALSE,https://api.spotify.com/v1/tracks/5TEoJSRVnoinx0xIPV3CXr,FALSE,HEATED,https://p.scdn.co/mp3-preview/fcb44c7d9c33201cef6aaca4db3465d2b3b39f11?cid=a35f79c14d594b1abc3e242bfdcbde63,11,track,spotify:track:5TEoJSRVnoinx0xIPV3CXr,https://open.spotify.com/track/5TEoJSRVnoinx0xIPV3CXr,RENAISSANCE,C#,major,C# major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.82,0.537,5,-10.156,0,0.396,0.0648,0.01,0.401,0.596,128.982,5pBl6aDQqw0b0O0t640BUB,https://api.spotify.com/v1/audio-analysis/5pBl6aDQqw0b0O0t640BUB,4,,,1,244792,FALSE,https://api.spotify.com/v1/tracks/5pBl6aDQqw0b0O0t640BUB,FALSE,THIQUE,https://p.scdn.co/mp3-preview/58d8b76f29574a8b0e0be3015e0c5d30680eb54d?cid=a35f79c14d594b1abc3e242bfdcbde63,12,track,spotify:track:5pBl6aDQqw0b0O0t640BUB,https://open.spotify.com/track/5pBl6aDQqw0b0O0t640BUB,RENAISSANCE,F,minor,F minor
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.736,0.558,9,-7.973,1,0.0657,0.0157,3.16e-5,0.156,0.115,135.9,6hYgmQ27dGia58kKJWBLci,https://api.spotify.com/v1/audio-analysis/6hYgmQ27dGia58kKJWBLci,4,,,1,169819,FALSE,https://api.spotify.com/v1/tracks/6hYgmQ27dGia58kKJWBLci,FALSE,ALL UP IN YOUR MIND,https://p.scdn.co/mp3-preview/7239e819eb4d5fd5985bc6a83df847b940038159?cid=a35f79c14d594b1abc3e242bfdcbde63,13,track,spotify:track:6hYgmQ27dGia58kKJWBLci,https://open.spotify.com/track/6hYgmQ27dGia58kKJWBLci,RENAISSANCE,A,major,A major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.803,0.624,1,-6.391,1,0.0444,0.00398,2.51e-4,0.222,0.104,126.057,2vpZvAaPRdcq2XX4Y07Xsk,https://api.spotify.com/v1/audio-analysis/2vpZvAaPRdcq2XX4Y07Xsk,4,,,1,198897,FALSE,https://api.spotify.com/v1/tracks/2vpZvAaPRdcq2XX4Y07Xsk,FALSE,AMERICA HAS A PROBLEM,https://p.scdn.co/mp3-preview/a762b2b2a660591b1ca29e207eb9154c44e7d23e?cid=a35f79c14d594b1abc3e242bfdcbde63,14,track,spotify:track:2vpZvAaPRdcq2XX4Y07Xsk,https://open.spotify.com/track/2vpZvAaPRdcq2XX4Y07Xsk,RENAISSANCE,C#,major,C# major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.86,0.555,1,-7.889,1,0.135,0.0129,2.69e-5,0.287,0.43,123.972,45bteDyQ303LFxmDiLE3m8,https://api.spotify.com/v1/audio-analysis/45bteDyQ303LFxmDiLE3m8,4,,,1,288254,FALSE,https://api.spotify.com/v1/tracks/45bteDyQ303LFxmDiLE3m8,FALSE,PURE/HONEY,https://p.scdn.co/mp3-preview/eadc78811bab4d315bf06b938ba67b1cf203b26f?cid=a35f79c14d594b1abc3e242bfdcbde63,15,track,spotify:track:45bteDyQ303LFxmDiLE3m8,https://open.spotify.com/track/45bteDyQ303LFxmDiLE3m8,RENAISSANCE,C#,major,C# major
Beyoncé,6vWDO969PvNqNYHIOW5v0m,3ctW8o8ABBCNWWkdIvEGgV,album,,2022-07-29,2022,day,0.664,0.628,8,-9.618,1,0.0435,0.0791,0.00108,0.11,0.226,120.014,38oRXk2DHqdXg1JjGDKak8,https://api.spotify.com/v1/audio-analysis/38oRXk2DHqdXg1JjGDKak8,4,,,1,273997,FALSE,https://api.spotify.com/v1/tracks/38oRXk2DHqdXg1JjGDKak8,FALSE,SUMMER RENAISSANCE,https://p.scdn.co/mp3-preview/cfe7788ffd6774b75f590492b5df5549125cb273?cid=a35f79c14d594b1abc3e242bfdcbde63,16,track,spotify:track:38oRXk2DHqdXg1JjGDKak8,https://open.spotify.com/track/38oRXk2DHqdXg1JjGDKak8,RENAISSANCE,G#,major,G# major
